path	date	wc	source_type	rollup_p_f_b_s	n_explicit	n_suffix	n_inline	tc_refs
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/qa-final-verify-e05-c04-2026-08-19/report.md	2026-08-19	0	manual	2/0/0/0	1	1	1	AUTH-TC-C04,AUTH-TC-E05,TC-C04,TC-E05
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/spotcheck-h01-avatar-carousel-2026-08-23/report.md	2026-08-23	0	manual		0	0	0	AUTH-TC-H01,AUTH-TC-H06,TC-H01,TC-H06
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/spotcheck-sweeps-2026-08-23/report.md	2026-08-23	0	manual		0	2	0	AUTH-TC-B02,TC-B02
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/stage2/report.md	2026-08-11	0	manual		0	0	0	TC-A02,TC-A03,TC-A04,TC-A05,TC-A06,TC-A07,TC-B01,TC-B02,TC-B03,TC-B04,TC-B05,TC-B06
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/stage3/report.md	2026-08-11	0	manual		0	0	0	TC-A05
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/tabbar-after-skip-recheck-2026-08-18/report.md	2026-08-18	0	manual		0	0	0	AUTH-TC-H06,AUTH-TC-H07,TC-H06,TC-H07
/Users/sameralzubaidi/Desktop/kids_marketplace_app/test-automation/trade-flow-v2/reports/2026-05-31T13-04-19-345Z/report.md	2026-05-31	0	automated		6	0	0	TC-N01,TC-N02
/Users/sameralzubaidi/Desktop/kids_marketplace_app/test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/report.md	2026-05-31	0	automated		19	0	0	TC-M13
/Users/sameralzubaidi/Desktop/kids_marketplace_app/test-automation/trade-flow-v2/reports/2026-05-31T15-09-46-669Z/report.md	2026-05-31	0	automated		4	0	0	TC-A01,TC-A02,TC-A03,TC-M13
/Users/sameralzubaidi/Desktop/kids_marketplace_app/test-automation/trade-flow-v2/reports/2026-05-31T15-12-10-443Z/report.md	2026-05-31	0	automated		19	0	0	TC-A01,TC-A02,TC-A03,TC-A04,TC-M01,TC-M02,TC-M03,TC-M04,TC-M05,TC-M06,TC-M07,TC-M08,TC-M09,TC-M10,TC-M11,TC-M12,TC-M13,TC-M14,TC-M15
