path	date	source_type	tc_id	verdict
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-O06	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-O07	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-Q01	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-Q02	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-Q03	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-Q04	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-Q05	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-Q06	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-Q07	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-Q08	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-Q09	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-Q10	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-Q11	SKIPPED
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-Q12	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-Q13	SKIPPED
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-Q14	SKIPPED
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-Q15	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-Q16	SKIPPED
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-Q17	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-R01	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-R02	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-R03	SKIPPED
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-R04	SKIPPED
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-R05	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-R06	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-R07	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-R08	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-R11	SKIPPED
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-R12	SKIPPED
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-R13	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/results.json	2026-06-02	automated	REG-R01	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/results.json	2026-06-02	automated	REG-R02	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/results.json	2026-06-02	automated	REG-R03	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/results.json	2026-06-02	automated	REG-R04	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/results.json	2026-06-02	automated	REG-R05	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/results.json	2026-06-02	automated	REG-R06	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/results.json	2026-06-02	automated	REG-R07	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/results.json	2026-06-02	automated	REG-R08	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/results.json	2026-06-02	automated	TC-A01	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/results.json	2026-06-02	automated	TC-A02	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/results.json	2026-06-02	automated	TC-A03	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/results.json	2026-06-02	automated	TC-A04	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/results.json	2026-06-02	automated	TC-B01	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/results.json	2026-06-02	automated	TC-B02	SKIPPED
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/results.json	2026-06-02	automated	TC-B03	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/results.json	2026-06-02	automated	TC-B04	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/results.json	2026-06-02	automated	TC-B05	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/results.json	2026-06-02	automated	TC-B06	SKIPPED
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/results.json	2026-06-02	automated	TC-C01	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/results.json	2026-06-02	automated	TC-C02	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/results.json	2026-06-02	automated	TC-C03	SKIPPED
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/results.json	2026-06-02	automated	TC-C04	FAIL
